nome;lon;lat;endereco
Golden Grill;-44.0036387;-19.9837734;R. Amílcar Cabral, 515 , Milionários, Belo Horizonte - MG, 30620-250
Graffica Bar;-43.9375775;-19.9248113;Av. Augusto de Lima, 233, Belo Horizonte - MG, 30160-906
Ivo Grill;-43.9464948;-19.838757;Rua Professor Tristão da Cunha, 183 , Planalto, Belo Horizonte - MG, 31720-520
Juzé Bar;-43.9890445;-19.8414871;R. Carlos Sá, 180, Jardim Atlântico, Belo Horizonte - MG, 31550-200
Köbes Emporium Bar;-43.9157622;-19.9119307;R. Professor Raimundo Nonato, 31 - A , Santa Tereza, Belo Horizonte - MG, 31010-520
Koqueiros Bar;-43.9260469;-19.9109127;Av. Silviano Brandão, 1293 , Sagrada Família, Belo Horizonte - MG, 31030-525
Leo da Quadra;-44.0131047;-19.9761639;R. Oliveira Lisboa, 107 , Barreiro, Belo Horizonte - MG, 30640-470
Locomotivas Bar;-43.9090525;-19.8815093;R. Carmésia, 568 , Santa Inês, Belo Horizonte - MG, 31080-170
Magnífico Quintal;-43.9759104;-19.8421348;R. Doutor Jefferson de Oliveira, 56 , Santa Amélia, Belo Horizonte - MG, 31560-230
Magrelo’s bar;-44.0130017;-19.8735161;Av. Serrana, 635 , Belo Horizonte - MG, 31360-270
Mamute Bar;-43.9286133;-19.9453396;R. Brás Cubas, 116 , Cruzeiro, Belo Horizonte - MG, 30310-220
Mineiros Beer;-43.996875;-19.8881972;R. Romualdo Lopes Cançado, 399 , Castelo, Belo Horizonte - MG, 30840-460
Mulão;-43.9683517;-19.9090992;R. Marambaia, 291 , Caiçara, Belo Horizonte - MG, 30770-070
Nosso Spetim;-43.9791637;-19.8299231;Rua dos Astecas, 3219 , Santa Mônica, Belo Horizonte - MG, 31530-300
NUBAR;-44.0007213;-19.8902904;Avenida dos Engenheiros, 843 , Belo Horizonte - MG, 30840-300
O Fino do Alho;-43.9563356;-19.8066128;R. Capitão Sérgio Pires, 41 , Minascaixa, Belo Horizonte - MG, 31615-640
Oratório Bar;-43.921453;-19.9241341;Av. Brasil, 161 , Santa Efigênia, Belo Horizonte - MG, 30140-000
Parada 10.95 Bar;-44.0007213;-19.8902904;Avenida dos Engenheiros, 1095 , Alípio de Melo, Belo Horizonte - MG, 30840-300
Parada do Sabor;-43.9480678;-19.8373712;Av. General Carlos Guedes, 346 , Planalto, Belo Horizonte - MG, 31720-500
Pé de Cana;-43.9322579;-19.9489897;R. Flórida, 15 , Belo Horizonte - MG, 30310-710
Pé de Goiaba;-43.9746581;-19.9297143;Av. Amazonas, 4676  , Nova Suíça, Belo Horizonte - MG, 30421-026
Planeta Lúpulo;-43.977372;-19.8388542;Av. Guarapari, 108 , Santa Amélia, Belo Horizonte - MG, 31560-300
PoiZé Bar e Petisqueira;-43.9299187;-19.9426434;R. Pium-I, 686  , Cruzeiro, Belo Horizonte - MG, 30310-080
